날짜,"01
프린터앞","02
프린터위","03
부스내부","04
부스외부"
01-21 10:13,-4.9,4.5,-3,-6.2
01-21 10:14,-4.9,4.5,-3,-6.3
01-21 10:15,-4.9,4.5,-2.9,-6.5
01-21 10:16,-4.8,4.5,-2.9,-6.4
01-21 10:17,-4.8,4.6,-2.9,-6.3
01-21 10:18,-4.7,4.6,-2.9,-6.2
01-21 10:19,-4.7,4.6,-2.8,-6
01-21 10:20,-4.7,4.6,-2.8,-6
01-21 10:21,-4.6,4.6,-2.8,-6
01-21 10:22,-4.6,4.6,-2.7,-6
01-21 10:23,-4.6,4.6,-2.6,-6
01-21 10:24,-4.5,4.7,-2.6,-5.9
01-21 10:25,-4.5,4.7,-2.6,-5.9
01-21 10:26,-4.5,4.7,-2.5,-5.8
01-21 10:27,-4.5,4.7,-2.5,-5.8
01-21 10:28,-4.4,4.7,-2.5,-5.8
01-21 10:29,-4.4,4.7,-2.4,-6
01-21 10:30,-4.3,4.7,-2.4,-6
01-21 10:31,-4.3,4.7,-2.3,-5.9
01-21 10:32,-4.3,4.6,-2.3,-6
01-21 10:33,-4.3,4.6,-2.2,-6.1
01-21 10:34,-4.3,4.5,-2.3,-6.1
01-21 10:35,-4.2,4.4,-2.2,-6
01-21 10:36,-4.2,4.4,-2.2,-5.9
01-21 10:37,-4.2,4.3,-2.1,-5.9
01-21 10:38,-4.2,4.2,-2.1,-5.9
01-21 10:39,-4.1,4,-2.1,-6
01-21 10:40,-4.1,3.9,-2,-5.9
01-21 10:41,-4.1,3.8,-2,-5.8
01-21 10:42,-4.1,3.7,-2,-5.7
01-21 10:43,-4.1,3.7,-1.9,-5.7
01-21 10:44,-4.1,3.5,-1.9,-5.7
01-21 10:45,-4,3.5,-1.9,-5.6
01-21 10:46,-4,3.3,-1.8,-5.5
01-21 10:47,-4,3.2,-1.8,-5.5
01-21 10:48,-4,3.1,-1.7,-5.4
01-21 10:49,-4,3,-1.7,-5.4
01-21 10:50,-4,2.8,-1.7,-5.2
01-21 10:51,-3.9,2.7,-1.6,-5.2
01-21 10:52,-4,2.6,-1.6,-5.1
01-21 10:53,-3.9,2.5,-1.6,-5
01-21 10:54,-3.9,2.3,-1.5,-4.9
01-21 10:55,-3.9,2.3,-1.5,-4.8
01-21 10:56,-3.9,2.2,-1.4,-4.7
01-21 10:57,-3.3,2.1,-1.4,-4.6
,,2.7,-1.2,
